OID_	IDENT	NAME	UPPER_DESC	UPPER_VAL	UPPER_UOM	UPPER_CODE	LOWER_DESC	LOWER_VAL	LOWER_UOM	LOWER_CODE	TYPE_CODE	LOCAL_TYPE	CLASS	MIL_CODE	COMM_NAME	LEVEL	SECTOR	ONSHORE	EXCLUSION	WKHR_CODE	WKHR_RMK	DST	GMTOFFSET	SHAPE_Leng	SHAPE_Area	AirCheck
4859	 	WOODY ISLAND LOW	AA	-9998	 	 	 	1200	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	11.1758321	2.897807755	Pass
4860	 	POPLAR BLUFF CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.76664586	0.045950712	Pass
4861	 	WOODY ISLAND LOW	AA	-9998	 	 	 	1200	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	0.642223289	0.008707261	Pass
4862	 	WOODY ISLAND LOW	AA	-9998	 	 	 	1200	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	10.92370137	2.610262308	Pass
4863	 	WOODY ISLAND LOW	AA	-9998	 	 	 	14500	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	7.497972963	1.347222949	Pass
4864	 	WOODY ISLAND LOW	AA	-9998	 	 	 	14500	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	22.16379201	7.184972706	Pass
4865	OSU	"COLUMBUS, OHIO STATE UNIVERSITY AIRPORT CLASS D"	TI	3400	FT	MSL	 	0	FT	SFC	CLASS	CLASS_D	D	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.484512493	0.018201784	Fail
4866	 	POPLARVILLE-PEARL RIVER COUNTY AIRPORT CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.771237986	0.046951391	Pass
4867	 	PORTLAND CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	5.096125611	1.263388896	Pass
4868	 	PORTLAND CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	11.30545113	6.381959202	Pass
4869	 	RED OAK CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.945769313	0.054195818	Pass
4870	 	SHERIDAN CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.695529626	0.037996648	Pass
4871	 	SPRINGFIELD CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.710074356	0.039380799	Pass
4872	 	STOCKTON CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.773199742	0.046623309	Pass
4873	 	ASHLAND CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.831534525	0.053946149	Pass
4874	 	AUDUBON CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.786631042	0.04773864	Pass
4875	 	STOCKTON CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	3.86205798	0.640277779	Pass
4876	 	TOMAH CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.816973371	0.051061871	Pass
4877	 	BASSETT CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.793165022	0.04838877	Pass
4878	 	CORNING CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.769325211	0.045765959	Pass
4879	 	VIDALIA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.928659378	0.06246489	Pass
4880	 	COTTONWOOD CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.833489699	0.025020003	Pass
4881	 	CRESCO CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.786919765	0.047488864	Pass
4882	 	WAKEENEY CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.720206822	0.040338301	Pass
4883	 	WINNFIELD CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.719450177	0.040798366	Pass
4884	 	CUBA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.750499972	0.04390655	Pass
4885	 	DELTA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.901248318	0.032850053	Pass
